"Timestamp","Your Nickname (the name you go by)","Your Asphalt Unite Player ID (found in game profile & inbox)*","Are you subscribed to Amogh? (Link to Amogh's Channel)","Do you have the key for the Lamborghini Revuelto?*"
"2024/11/25 4:43:35 pm GMT+5:30","Demolisher ","u-f5798h","Yes","No, I don't have the key."
"2024/11/25 4:43:53 pm GMT+5:30","ARSHU","u_59fdgh","Yes","No, I don't have the key."
"2024/11/25 4:44:00 pm GMT+5:30","EVIL SHADOW","u-3e50c6","Yes","No, I don't have the key."
"2024/11/25 4:44:02 pm GMT+5:30","Buraq","u-7cg880","Yes","No, I don't have the key."
"2024/11/25 4:44:04 pm GMT+5:30","AlDiffEw _ YT","u-7dh647","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:26 pm GMT+5:30","Spaztik","u-1g2825","Yes","No, I don't have the key."
"2024/11/25 4:44:30 pm GMT+5:30","FASTKING","GRFASTKING","Yes","No, I don't have the key."
"2024/11/25 4:44:33 pm GMT+5:30","SunRisers13","u-2ce4e0","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:50 pm GMT+5:30","ORION PAX","u-fh69h7 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:57 pm GMT+5:30","Simon Ao","7e8h1","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:03 pm GMT+5:30","sai","u-440dde","Yes","No, I don't have the key."
"2024/11/25 4:45:05 pm GMT+5:30","Rahul mahajan","u-9g378","Yes","No, I don't have the key."
"2024/11/25 4:45:17 pm GMT+5:30","NFS™ Dragon","u-h69f24","Yes","No, I don't have the key."
"2024/11/25 4:45:31 pm GMT+5:30","Sukuna","u-g89f61 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:54 pm GMT+5:30","black_box","u-44dd8","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:55 pm GMT+5:30","Lucifer","u-38f4c0","Yes","No, I don't have the key."
"2024/11/25 4:46:04 pm GMT+5:30","Púrple","u-9d378 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:07 pm GMT+5:30","Ryūjin Swift ","u-2e87d","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:19 pm GMT+5:30","ÆGON","u-g9f89e","Yes","No, I don't have the key."
"2024/11/25 4:46:34 pm GMT+5:30","TThunder","u-638d99","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:43 pm GMT+5:30","Crazy moose","u-50e3e2","No","No, I don't have the key."
"2024/11/25 4:46:49 pm GMT+5:30","GOOD BY (in game name) ","u-d8d277","Yes","No, I don't have the key."
"2024/11/25 4:46:51 pm GMT+5:30","KT","u-77fehe","Yes","No, I don't have the key."
